Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp,Wind
37010,48,Fair,53,58,45,40,5
37011,48,Clear,54,60,46,43,6
37012,39,Clear,53,58,43,39,3
37013,49,Clear,54,60,46,43,6
37014,46,Clear,52,57,43,40,4
37015,51,Clear,53,60,47,43,3
37016,41,Clear,52,57,43,39,2
37018,42,Clear,53,57,41,38,2
37019,43,Clear,52,58,41,40,1
37020,42,Clear,52,57,40,38,2
37022,46,Clear,52,58,44,41,2
37023,50,Fair,54,60,50,44,5
37024,49,Clear,53,60,46,43,6
37025,48,Fair,52,59,46,42,5
37026,43,Clear,54,58,43,40,2
37027,49,Clear,53,60,46,43,6
37028,51,Fair,53,60,51,46,5
37029,48,Partly Cloudy,52,60,46,42,5
37030,40,Clear,52,59,42,39,2
37031,46,Clear,52,57,43,40,2
37032,48,Partly Cloudy,52,57,45,40,5
37033,45,Clear,53,61,47,41,2
37034,42,Clear,54,60,40,38,2
37035,49,Fair,52,59,46,42,4
37036,50,Partly Cloudy,53,60,48,43,6
37037,45,Clear,53,58,42,40,3
37040,49,Clear,53,60,47,42,5
37041,50,Clear,53,60,48,42,5
37042,48,Clear,53,59,48,42,5
37043,48,Clear,52,59,47,42,5
37044,49,Clear,53,60,47,42,5
37046,45,Clear,53,58,42,40,4
37047,43,Clear,53,58,40,40,1
37048,47,Clear,53,58,45,43,3
37049,48,Clear,52,57,46,41,5
37050,50,Fair,54,60,50,45,4
37051,49,Fair,53,60,48,43,6
37052,49,Fair,53,59,48,42,5
37055,49,Partly Cloudy,53,60,47,43,5
37056,49,Partly Cloudy,53,59,47,43,6
37057,43,Clear,52,58,42,39,2
37058,50,Partly Cloudy,55,61,51,46,5
37059,40,Clear,53,59,43,40,2
37060,43,Clear,53,58,41,40,3
37061,49,Partly Cloudy,54,60,49,44,5
37062,48,Fair,52,59,46,42,4
37063,42,Clear,52,59,41,39,3
37064,45,Fair,53,60,45,42,4
37065,48,Clear,52,62,45,41,4
37066,46,Clear,52,58,44,42,2
37067,47,Clear,53,59,44,41,5
37068,48,Clear,52,62,45,41,4
37069,48,Clear,52,60,46,42,4
37070,50,Clear,53,60,47,44,4
37071,45,Clear,52,58,43,40,4
37072,50,Clear,53,59,47,43,4
37073,49,Fair,52,58,46,42,5
37074,45,Clear,51,57,42,39,2
37075,48,Clear,53,59,46,43,4
37076,50,Clear,54,60,47,44,6
37077,48,Clear,53,59,46,43,4
37078,49,Partly Cloudy,52,60,47,42,3
37079,50,Fair,54,61,51,45,4
37080,50,Clear,52,59,46,43,4
37082,50,Fair,53,60,48,44,4
37083,46,Clear,52,57,43,40,3
37085,45,Fair,51,58,43,39,3
37086,47,Clear,52,59,44,42,4
37087,43,Clear,52,59,44,40,4
37088,43,Clear,52,59,44,40,5
37089,47,Clear,53,59,45,42,4
37090,42,Clear,52,58,43,39,5
37091,41,Clear,54,60,41,39,1
37095,40,Clear,52,57,43,40,2
37096,47,Partly Cloudy,54,61,45,40,1
37097,48,Partly Cloudy,53,61,47,42,2
37098,49,Fair,53,59,45,42,4
37101,48,Partly Cloudy,52,59,47,43,4
37110,41,Clear,51,56,40,37,1
37111,42,Clear,51,55,41,38,1
37115,51,Clear,53,60,47,44,5
37116,51,Clear,53,60,47,44,5
37118,41,Clear,50,57,42,38,2
